Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female
Supporting Actor,Judgment at Nuremberg,Montgomery Clift,0,1962,8.3,1961-12-18,93,90,11,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1920,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Hustler,Jackie Gleason,0,1962,8,1961-10-27,93,98,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1916,46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Hustler,George C. Scott,0,1962,8,1961-10-27,93,98,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1927,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,West Side Story,George Chakiris,1,1962,7.6,1961-12-23,84,94,11,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1934,28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,Pocketful of Miracles,Peter Falk,0,1962,7.3,1962-02-15,72,63,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1927,35,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actress,Judgment at Nuremberg,Judy Garland,0,1962,8.3,1961-12-18,93,90,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1922,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supporting Actress,West Side Story,Rita Moreno,1,1962,7.6,1961-12-23,84,94,11,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1931,31,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supporting Actress,The Children's Hour,Fay Bainter,0,1962,7.8,1961-12-19,84,86,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1893,69,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supporting Actress,Summer and Smoke,Una Merkel,0,1962,7.9,1962-04,60,85.0704483074108,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,59,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Supporting Actress,The Roman Spring of Mrs. Stone,Lotte Lenya,0,1962,6.6,1961-12-28,61,85.0704483074108,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1898,64,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
